Nom,Isin,Symbole,Marche,Mic
BPP_CLASS_A,BMG166341005,BPPA,Euronext_Amsterdam,XAMS
BPP_CLASS_B,BMG166341187,BPPB,Euronext_Amsterdam,XAMS
BRILL_KON,NL0000442523,BRILL,Euronext_Amsterdam,XAMS
BROOKFIELD_ASSET_M,CA1125851040,BAMA,Euronext_Amsterdam,XAMS
BRUNEL_INTERNAT,NL0010776944,BRNL,Euronext_Amsterdam,XAMS
BTG_GDS-APN,US05890C2044,BTGA,Euronext_Amsterdam,XAMS
BTG_GDS-CS,US05890C1053,BTGB,Euronext_Amsterdam,XAMS
BTG-BPP_EUR_UNIT,US05890C3034,BTGP,Euronext_Amsterdam,XAMS
COCA-COLA_EUROPEAN,GB00BDCPN049,CCE,Euronext_Amsterdam,XAMS
CORBION,NL0010583399,CRBN,Euronext_Amsterdam,XAMS
CORE_LABORATORIES,NL0000200384,CLB,Euronext_Amsterdam,XAMS
CTAC,NL0000345577,CTAC,Euronext_Amsterdam,XAMS
CURETIS,NL0011509294,CURE,Euronext_Amsterdam,XAMS
DELTA_LLOYD,NL0009294552,DL,Euronext_Amsterdam,XAMS
DOC_DATA,NL0000345627,DOCD,Euronext_Amsterdam,XAMS
DPA_GROUP,NL0009197771,DPA,Euronext_Amsterdam,XAMS
DSM_KON,NL0000009827,DSM,Euronext_Amsterdam,XAMS
ESPERITE,NL0009272137,ESP,Euronext_Amsterdam,XAMS
EUROCASTLE_INVEST.,GB00B94QM994,ECT,Euronext_Amsterdam,XAMS
EUROCOMMERCIAL,NL0000288876,ECMPA,Euronext_Amsterdam,XAMS
FLOW_TRADERS,NL0011279492,FLOW,Euronext_Amsterdam,XAMS
FNG_N.V.,NL0012047849,FNG,Euronext_Amsterdam,XAMS
FORFARMERS,NL0011832811,FFARM,Euronext_Amsterdam,XAMS
FUGRO,NL0000352565,FUR,Euronext_Amsterdam,XAMS
GALAPAGOS,BE0003818359,GLPG,Euronext_Amsterdam,XAMS
GEMALTO,NL0000400653,GTO,Euronext_Amsterdam,XAMS
GRANDVISION,NL0010937066,GVNV,Euronext_Amsterdam,XAMS
GROOTHANDELSGEBOUW,NL0000440824,GROHA,Euronext_Amsterdam,XAMS
HAL_TRUST,BMG455841020,HAL,Euronext_Amsterdam,XAMS
HeadFirst_Source_G,CWN814651014,HFS,Euronext_Amsterdam,XAMS
HEIJMANS,NL0009269109,HEIJM,Euronext_Amsterdam,XAMS
HEINEKEN,NL0000009165,HEIA,Euronext_Amsterdam,XAMS
HEINEKEN_HOLDING,NL0000008977,HEIO,Euronext_Amsterdam,XAMS
HOLLAND_COLOURS,NL0000440311,HOLCO,Euronext_Amsterdam,XAMS
HUNTER_DOUGLAS,ANN4327C1220,HDG,Euronext_Amsterdam,XAMS
HUNTER_DOUGLAS,ANN4327C1303,HUNDP,Euronext_Amsterdam,XAMS
HYDRATEC,NL0009391242,HYDRA,Euronext_Amsterdam,XAMS
ICT_GROUP,NL0000359537,ICT,Euronext_Amsterdam,XAMS
IEX_GROUP_NV,NL0010556726,IEX,Euronext_Amsterdam,XAMS
IMCD,NL0010801007,IMCD,Euronext_Amsterdam,XAMS
ING_GROEP_N.V.,NL0011821202,INGA,Euronext_Amsterdam,XAMS
INTERTRUST,NL0010937058,INTER,Euronext_Amsterdam,XAMS
INVERKO,NL0011495189,INVER,Euronext_Amsterdam,XAMS
KARDAN,NL0000113652,KARD,Euronext_Amsterdam,XAMS
KAS_BANK,NL0000362648,KA,Euronext_Amsterdam,XAMS
KENDRION,NL0000852531,KENDR,Euronext_Amsterdam,XAMS
KIADIS,NL0011323407,KDS,Euronext_Amsterdam,XAMS
KPN_KON,NL0000009082,KPN,Euronext_Amsterdam,XAMS
LAVIDE_HOLDING,NL0010545679,LVIDE,Euronext_Amsterdam,XAMS
LUCASBOLS,NL0010998878,BOLS,Euronext_Amsterdam,XAMS
NB_PRIV_EQ_PARTN,GG00B1ZBD492,NBPE,Euronext_Amsterdam,XAMS
NEDAP,NL0000371243,NEDAP,Euronext_Amsterdam,XAMS
NEDSENSE_ENTERPR,NL0009312842,NEDSE,Euronext_Amsterdam,XAMS
NEW_SOURCES_ENERGY,NL0009822014,NSE,Euronext_Amsterdam,XAMS
NEWAYS_ELECTRONICS,NL0000440618,NEWAY,Euronext_Amsterdam,XAMS
NN_GROUP,NL0010773842,NN,Euronext_Amsterdam,XAMS
NOVISOURCE,NL0010696704,NOVI,Euronext_Amsterdam,XAMS
NSI,NL0000292324,NSI,Euronext_Amsterdam,XAMS
OCI,NL0010558797,OCI,Euronext_Amsterdam,XAMS
ORANJEWOUD_A,NL0000370419,ORANW,Euronext_Amsterdam,XAMS
ORDINA,NL0000440584,ORDI,Euronext_Amsterdam,XAMS
PERSHING,GG00BPFJTF46,PSH,Euronext_Amsterdam,XAMS
PHARMING_GROUP,NL0010391025,PHARM,Euronext_Amsterdam,XAMS
PHILIPS_BUY_BACK,NL0000009322,INPHI,Euronext_Amsterdam,XAMS
PHILIPS_KON,NL0000009538,PHIA,Euronext_Amsterdam,XAMS
PHILIPS_LIGHTING,NL0011821392,LIGHT,Euronext_Amsterdam,XAMS
PORCELEYNE_FLES,NL0000378669,PORF,Euronext_Amsterdam,XAMS
POSTNL,NL0009739416,PNL,Euronext_Amsterdam,XAMS
PROBIODRUG,DE0007921835,PBD,Euronext_Amsterdam,XAMS
RANDSTAD,NL0000379121,RAND,Euronext_Amsterdam,XAMS
REFRESCO_GROUP,NL0011214010,RFRG,Euronext_Amsterdam,XAMS
RELX,NL0006144495,REN,Euronext_Amsterdam,XAMS
ROODMICROTEC,NL0000440477,ROOD,Euronext_Amsterdam,XAMS
ROODMICROTECWAR2,NL0011556972,WROD2,Euronext_Amsterdam,XAMS
ROYAL_DUTCH_SHELLA,GB00B03MLX29,RDSA,Euronext_Amsterdam,XAMS
ROYAL_DUTCH_SHELLB,GB00B03MM408,RDSB,Euronext_Amsterdam,XAMS
SBM_OFFSHORE,NL0000360618,SBMO,Euronext_Amsterdam,XAMS
SIF_HOLDING,NL0011660485,SIFG,Euronext_Amsterdam,XAMS
SLIGRO_FOOD_GROUP,NL0000817179,SLIGR,Euronext_Amsterdam,XAMS
SNOWWORLD,NL0010627865,SNOW,Euronext_Amsterdam,XAMS
STERN_GROEP,NL0000336303,STRN,Euronext_Amsterdam,XAMS
TAKEAWAY,NL0012015705,TKWY,Euronext_Amsterdam,XAMS
TELEGRAAF_MEDIA_GR,NL0000386605,TMG,Euronext_Amsterdam,XAMS
TETRAGON_FIN_GRP,GG00B1RMC548,TFG,Euronext_Amsterdam,XAMS
THUNDERBIRD,VGG885761061,TBIRD,Euronext_Amsterdam,XAMS
TIE_KINETIX,NL0010389508,TIE,Euronext_Amsterdam,XAMS
TKH_GROUP,NL0000852523,TWEKA,Euronext_Amsterdam,XAMS
TOMTOM,NL0000387058,TOM2,Euronext_Amsterdam,XAMS
UNIBAIL-RODAMCO,FR0000124711,UL,Euronext_Amsterdam,XAMS
UNILEVER_6%,NL0000388742,UNCP6,Euronext_Amsterdam,XAMS
UNILEVER_7%,NL0000388726,UNCP7,Euronext_Amsterdam,XAMS
UNILEVER_DR,NL0000009355,UNA,Euronext_Amsterdam,XAMS
UNILEVER_DR7CP,NL0000388684,UNCC7,Euronext_Amsterdam,XAMS
UNILEVER_OS,NL0000388619,UNIA,Euronext_Amsterdam,XAMS
VALUE8,NL0010661864,VALUE,Euronext_Amsterdam,XAMS
VALUE8_CUM_PREF,NL0009875483,PREVA,Euronext_Amsterdam,XAMS
VAN_LANSCHOT,NL0000302636,LANS,Euronext_Amsterdam,XAMS
VASTNED,NL0000288918,VASTN,Euronext_Amsterdam,XAMS
VEON,BMG9349W1038,VEON,Euronext_Amsterdam,XAMS
VERENIGDE_NED_COMP,NL0009169515,VNC,Euronext_Amsterdam,XAMS
VOLKERWESSELS,NL0012294466,KVW,Euronext_Amsterdam,XAMS
VOLTA_FINANCE,GG00B1GHHH78,VTA,Euronext_Amsterdam,XAMS
VOPAK,NL0009432491,VPK,Euronext_Amsterdam,XAMS
